company_name,category,founder,co_founder,founded,country,city,networth_busd,stock
Facebook,Social Networking,Mark Zuckerberg,Andrew McCollum,2004,United States,Massaschusetts,62,199.75 USD 
Amazon.com,Technology,Jeff Bezos,,1994,United States,Washington,120,1943.05 USD
Google,Technology,Larry Page,Sergey Brin,1998,United States,California,279,1245.22 USD
Alphabet,Conglomerate,Larry Page,Sergey Brin,2015,United States,California,739,1245.22 USD
Apple,Technology,Steve Jobs,Ronald Wayne,1976,United States,California,1000,207.74 USD
Alibaba,Conglomerate,Jack Ma,Joseph C. Tsai,1999,China,Hangzhou,352,178.74 USD 
Tencent Holdings,Investment,Ma Huateng,Zhang Zhidong,1998,China,Shenzhen,511,370.20 HKD
Berkshire Hathaway,Conglomerate,Oliver Chace,,1839,United States,Massaschusetts,620,315000.00 USD
JPMorgan Chase,Investment,J P Morgan,,2000,United States,New York,256,116.22 USD 
ExxonMobil,Oil & Gas,John D Rockefeller,,1999,United States,Texas,279,74.81 USD 
Johnson & Johnson,Medical,James Wood Johnson,Edward Mead Johnson,1886,United States,New Jersey,360,130.73 USD
Samsung Electronics,Conglomerate,Lee Byung-chul,,1969,South Korea,Suwonsi,326,"47,150 KRW"
Bank of America,Investment,Amadeo Giannini,,1998,United States,North Carolina,401,30.77 USD 
Intel,Technology,Gordon Moore,Robert Noyce,1968,United States,California,200,51.59 USD
Twitter,Social Networking,Jack Dorsey,Noah Glass,2006,United States,California,5,51.59 USD
PetroChina,Oil & Gas,Joint Stock Company,,1999,China,Beijing,1000,6.54 CNY
Nintendo,Game Development,Fusajiro Yamauchi,,1889,Japan,Kyoto,38,40220 JPY
Valve Corporation,Game Development,Gabe Newell,Mike Harrington,1996,United States,Washington,3,Not on the stock market
Rockstar Games,Game Development,Sam Houser,Dan Houser,1998,United States,New York,3,45.5 USD
Electronic Arts,Game Development,Trip Hawkins,,1982,United States,California,5,89.51 USD
Activision Blizzard,Game Development,Robert A Kotick,,2008,United States,California,37,47.99 USD
Sony Computer Entertainment,Game Development,Ken Kutaragi,Norio Ohga,1993,Japan,Tokyo,38,61.02 USD
Ubisoft,Game Development,Guillemot Family,,1986,France,Carentoir,4,75.90 EUR 
Royal Dutch Shell,Oil & Gas,Marcus Samuel,Samuel Samuel,1911,Netherlands, Hague,265,28.38 EUR
Samsung Electronics,Technology,Lee Byung-chul,,1969,South Korea,Suwon,272,47150 KRW
Toyota Motor,Technology,Kiichiro Toyoda,,1937,Japan,Toyota,176,7151 JPY
Volkswagen Group,Technology,German Labour Front,,1937,Germany,Wolfsburg,92,155.26 EUR
 AT&T,Technology,Bell Telephone Company,,1983,United States,Texas,233,34.15 USD
Verizon Communications,Technology,Charles Lee,Ivan Seidenberg,1995,United States,New Jersey,239,57.08 USD
HSBC Holdings,Investment,Thomas Sutherland,,1865,United Kingdom,England,176,662.40 GBX
Walmart,Conglomerate,Sam Walton,,1962,United States,Arkansas,296,113.02 USD
BP,Oil & Gas,William Knox D'Arcy,,1909,United Kingdom,England,150,38.98 USD
Santander,Investment,Ana Patricia Botín,Antonio Alvarez ,2013,Spain,Madrid,84,4.06 EUR
UnitedHealth Group,Medical,Richard T Burke,,1977,United States,Minnesota,213,252.94 USD
BNP Paribas,Investment, Banque Nationale de Paris (BNP),Paribas,1848,France,Paris,69,42.94 EUR
Daimler,Technology,Gottlieb Daimler,,1886,Germany,Stuttgart,71,48.38 EUR
Gazprom,Oil & Gas,Viktor Chernomyrdin,,1989,Russia,Moscow,60,234.23 RUB
RBC,Investment,David I. McKay,,1864,Canada,Toronto,115,104.77 CAD
Boeing,Conglomerate,William Boeing,,1916,United States,Chicago,215,345.00 USD 
 Goldman Sachs Group,Investment,Viktor Chernomyrdin,Samuel Sachs,1869,United States,New York,76,222.14 USD
 Procter & Gamble,Conglomerate,James Gamble,William Procter,1837,United States,Ohio,265,114.73 USD
BMW Group,Technology,Karl Rapp,Franz Josef Popp,1916,Germany,Munich,58,68.67 EUR 
IBM,Technology,Charles Ranlett Flint,,1911,United States,New York,125,151.36 USD 
Walt Disney,Conglomerate,Walter Elias Disney,,1923,United States,California,238,144.65 USD
 Siemens,Conglomerate,Werner von Siemens,Johann Georg Halske,1847,Germany,Munich,97,1184.70 INR
Reliance Industries,Oil & Gas,Dhirubhai Ambani,,1966,India,Mumbai,126,1217.00 INR
Enel,Technology,Antonio Segni,,1962,Italy,Rome,63,6.21 EUR 
 PepsiCo,Conglomerate,Caleb Bradham,,1965,United States,New York,178,131.22 USD
MetLife,Investment,William P Stewart,,1868,United States,New York,44,50.69 USD
AIRBUS,Technology,Roger Béteille,,1998,Netherlands,Leiden,105,131.00 EUR
