country,city
United States,California
United States,Massaschusetts
United States,Washington
United States,New York
United States,Texas
United States,North Carolina
United States,New Jersey
China,Beijing
China,Hangzhou
China,Shenzhen
Japan,Kyoto
Japan,Tokyo
France,Carentoir
Netherlands, Hague
South Korea,Suwon
Germany,Wolfsburg
United Kingdom,England
United States,Arkansas
Spain,Madrid
United States,Minnesota
France,Paris
Germany,Stuttgart
Russia,Moscow
Canada,Toronto
United States,Chicago
United States,Ohio
Germany,Munich
India,Mumbai
Italy,Rome
Netherlands,Leiden
