founder,country,city,networth_busd
Mark Zuckerberg,United States,Massaschusetts,62
Jeff Bezos,United States,Washington,120
Larry Page,United States,California,279
Steve Jobs,United States,California,1000
Jack Ma,China,Hangzhou,352
Ma Huateng,China,Shenzhen,511
Oliver Chace,United States,Massaschusetts,620
J P Morgan,United States,New York,256
John D Rockefeller,United States,Texas,279
James Wood Johnson,United States,New Jersey,360
Lee Byung-chul,South Korea,Suwonsi,326
Amadeo Giannini,United States,North Carolina,401
Gordon Moore,United States,California,200
Jack Dorsey,United States,California,5
Joint Stock Company,China,Beijing,1000
Fusajiro Yamauchi,Japan,Kyoto,38
Gabe Newell,United States,Washington,3
Sam Houser,United States,New York,3
Trip Hawkins,United States,California,5
Robert A Kotick,United States,California,37
Ken Kutaragi,Japan,Tokyo,38
Guillemot Family,France,Carentoir,4
Marcus Samuel,Netherlands, Hague,265
Lee Byung-chul,South Korea,Suwon,272
Kiichiro Toyoda,Japan,Toyota,176
German Labour Front,Germany,Wolfsburg,92
Bell Telephone Company,United States,Texas,233
Charles Lee,United States,New Jersey,239
Thomas Sutherland,United Kingdom,England,176
Sam Walton,United States,Arkansas,296
William Knox D'Arcy,United Kingdom,England,150
Ana Patricia Botin,Spain,Madrid,84
Richard T Burke,United States,Minnesota,213
Banque Nationale de Paris (BNP),France,Paris,69
Gottlieb Daimler,Germany,Stuttgart,71
Viktor Chernomyrdin,Russia,Moscow,60
David I. McKay,Canada,Toronto,115
William Boeing,United States,Chicago,215
Viktor Chernomyrdin,United States,New York,76
James Gamble,United States,Ohio,265
Karl Rapp,Germany,Munich,58
Charles Ranlett Flint,United States,New York,125
Walter Elias Disney,United States,California,238
Werner von Siemens,Germany,Munich,97
Dhirubhai Ambani,India,Mumbai,126
Antonio Segni,Italy,Rome,63
Caleb Bradham,United States,New York,178
William P Stewart,United States,New York,44
Roger Beteille,Netherlands,Leiden,105
