service_type,company_name,services_type_2
Social Networking,Facebook,International
Technology,Amazon.com,International
Technology,Google,International
Conglomerate,Alphabet,International
Technology,Apple,International
Conglomerate,Alibaba,Multinational
Investment,Tencent Holdings,International
Conglomerate,Berkshire Hathaway,Multinational
Investment,JPMorgan Chase,Multinational
Oil & Gas,ExxonMobil,Local
Medical,Johnson & Johnson,International
Conglomerate,Samsung Electronics,International
Investment,Bank of America,Local
Technology,Intel,International
Social Networking,Twitter,International
Oil & Gas,PetroChina,Local
Game Development,Nintendo,International
Game Development,Valve Corporation,International
Game Development,Rockstar Games,International
Game Development,Electronic Arts,International
Game Development,Activision Blizzard,International
Game Development,Sony Computer Entertainment,International
Game Development,Ubisoft,International
Oil & Gas,Royal Dutch Shell,Multinational
Technology,Samsung Electronics,International
Technology,Toyota Motor,International
Technology,Volkswagen Group,International
Technology, AT&T,Multinational
Technology,Verizon Communications,International
Investment,HSBC Holdings,Multinational
Conglomerate,Walmart,Local
Oil & Gas,BP,Local
Investment,Santander,Multinational
Medical,UnitedHealth Group,International
Investment,BNP Paribas,Multinational
Technology,Daimler,International
Oil & Gas,Gazprom,Local
Investment,RBC,Multinational
Conglomerate,Boeing,International
Investment,Goldman Sachs Group,Multinational
Conglomerate,Procter & Gamble,Multinational
Technology,BMW Group,International
Technology,IBM,International
Conglomerate,Walt Disney,International
Conglomerate,Siemens,Multinational
Oil & Gas,Reliance Industries,Multinational
Technology,Enel,Multinational
Conglomerate,PepsiCo,International
Investment,MetLife,Multinational
Technology,AIRBUS,Multinational
